id,url,deal_score,tco_cost_per_km,avg_annual_tco,make,model,year,price,mileage,composite_score,estimated_resale_after_period,scraped_date,tco_purchase_tax,tco_total_depreciation_over_period,tco_avg_annual_depreciation,tco_estimated_resale_value_after_period,tco_total_fuel_cost_over_period,tco_avg_annual_fuel_cost,tco_fuel_price_used_per_l,tco_fuel_consumption_l_100km_used,tco_total_maintenance_over_period,tco_avg_annual_maintenance,tco_total_insurance_over_period,tco_avg_annual_insurance,tco_listing_price,tco_total_tco_plus_tax_over_period,tco_avg_annual_tco_plus_tax,tco_tco_calculation_years,tco_reliability_qir,tco_reliability_defect_rate,tco_remaining_lifespan_km
toyota_camry_2007_1.0_142,https://www.facebook.com/marketplace/item/1366244447951431/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.58,0.8864071934666666,$13296.11,toyota,camry,2007,$1.00,318000,0.747916667,$0.59,2025-05-17,$0.13,$0.41,$0.08,$0.59,$9576.00,$1915.20,$1.52,8.4,$47904.00,$9580.80,$9000.00,$1800.00,$1.00,$66480.54,$13296.11,5.0,$85.00,17.0,0.0
toyota_camry_2007_5000.0_83,https://www.facebook.com/marketplace/item/3596267590679258/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.57,0.8865273333333333,$13297.91,toyota,camry,2007,$5000.00,290000,0.747916667,$2952.45,2025-05-17,$650.00,$2047.55,$409.51,$2952.45,$9576.00,$1915.20,$1.52,8.4,$45216.00,$9043.20,$9000.00,$1800.00,$5000.00,$66489.55,$13297.91,5.0,$85.00,17.0,10000.0
honda_civic_2009_1500.0_70,https://www.facebook.com/marketplace/item/1586266338738019/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.55,0.8867902000000002,$13301.85,honda,civic,2009,$1500.00,300000,0.773333333,$885.74,2025-05-17,$195.00,$614.26,$122.85,$885.74,$8208.00,$1641.60,$1.52,7.2,$48492.00,$9698.40,$9000.00,$1800.00,$1500.00,$66509.27,$13301.85,5.0,$88.00,16.0,0.0
mazda_mazda6_2010_3450.0_180,https://www.facebook.com/marketplace/item/603060058932130/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.53,0.88699346,$13304.90,mazda,mazda6,2010,$3450.00,286000,0.773333333,$2037.19,2025-05-17,$448.50,$1412.81,$282.56,$2037.19,$10260.00,$2052.00,$1.52,9.0,$45403.20,$9080.64,$9000.00,$1800.00,$3450.00,$66524.51,$13304.90,5.0,$88.00,16.0,14000.0
mazda_mazda3_2010_2400.0_157,https://www.facebook.com/marketplace/item/2855052601370104/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.51,0.8872163200000003,$13308.24,mazda,mazda3,2010,$2400.00,292000,0.773333333,$1417.18,2025-05-17,$312.00,$982.82,$196.56,$1417.18,$10260.00,$2052.00,$1.52,9.0,$45986.40,$9197.28,$9000.00,$1800.00,$2400.00,$66541.22,$13308.24,5.0,$88.00,16.0,8000.0
honda_civic_2010_4800.0_143,https://www.facebook.com/marketplace/item/1004607438501784/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.49,0.88748864,$13312.33,honda,civic,2010,$4800.00,300000,0.808333333,$2834.35,2025-05-17,$624.00,$1965.65,$393.13,$2834.35,$8208.00,$1641.60,$1.52,7.2,$46764.00,$9352.80,$9000.00,$1800.00,$4800.00,$66561.65,$13312.33,5.0,$95.00,16.0,0.0
honda_civic_2012_5500.0_164,https://www.facebook.com/marketplace/item/1238033287825140/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.15,0.8908440666666668,$13362.66,honda,civic,2012,$5500.00,337000,0.777083333,$3247.70,2025-05-17,$715.00,$2252.30,$450.46,$3247.70,$8208.00,$1641.60,$1.52,7.2,$46638.00,$9327.60,$9000.00,$1800.00,$5500.00,$66813.31,$13362.66,5.0,$95.00,19.0,0.0
honda_accord_2010_4999.0_274,https://www.facebook.com/marketplace/item/474313172391148/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,10.51,0.8972401398666668,$13458.60,honda,accord,2010,$4999.00,290000,0.772916667,$2951.86,2025-05-17,$649.87,$2047.14,$409.43,$2951.86,$9804.00,$1960.80,$1.52,8.6,$45792.00,$9158.40,$9000.00,$1800.00,$4999.00,$67293.01,$13458.60,5.0,$90.00,17.0,10000.0
toyota_corolla_2004_2700.0_62,https://www.facebook.com/marketplace/item/3961842884032307/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,10.34,0.89878236,$13481.74,toyota,corolla,2004,$2700.00,285000,0.742083333,$1594.32,2025-05-17,$351.00,$1105.68,$221.14,$1594.32,$7752.00,$1550.40,$1.52,6.8,$49200.00,$9840.00,$9000.00,$1800.00,$2700.00,$67408.68,$13481.74,5.0,$88.00,19.0,15000.0
honda_civic_2006_4000.0_263,https://www.facebook.com/marketplace/item/988204976511530/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,10.27,0.8994938666666668,$13492.41,honda,civic,2006,$4000.00,250000,0.737916667,$2361.96,2025-05-17,$520.00,$1638.04,$327.61,$2361.96,$8208.00,$1641.60,$1.52,7.2,$48096.00,$9619.20,$9000.00,$1800.00,$4000.00,$67462.04,$13492.41,5.0,$83.00,17.0,50000.0
